一级分类,二级分类,节点ID,课程编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间,API文档ID,API文件名,API分类
"党建基础理论","党章学习","party-constitution","GC06I2215035_1505","坚持党的依法执政","张学博","",54,"精品三分屏","本课程由中央党校政法部副教授张学博主讲，主要内容有：一、转型中国与坚持党的领导；二、过去工作中存在的主要问题；三、坚持依法执政的主要内容。",2015.3,"","",""
"党建基础理论","党章学习","party-constitution","GC06A1415091_1510","从政风险与依法执政（上）","刘春","",82,"精品三分屏","本课程是《从政风险与依法执》系列课程的上半部分，由中央党校研究生院副院长、教授刘春主讲，围绕“从政风险的分类和防控”，主要内容有：从政风险的概念；从政风险的类别；从政风险等级的确认；从政风险防控的程序",2015.4.14,"","",""
"党建基础理论","党章学习","party-constitution","GC06A1515091_1510","从政风险与依法执政（下）","刘春","",35,"精品三分屏","本课程是《从政风险与依法执》系列课程的下半部分，由中央党校研究生院副院长、教授刘春主讲，围绕“重视从政风险防控，增强依法执政能力”，主要内容有：提高干部综合素质强化法治思维，提高依法办事能力；大力完善",2015.4.14,"","",""
"党建基础理论","党章学习","party-constitution","GC06B1015095_1601","深化行政审批改革 强化事中事后监管（上）","张定安","",45,"精品三分屏","本课程是《深化行政审批改革 强化事中事后监管》系列课程的上半部分，由中国行政管理学会副秘书长、研究员张定安主讲，主要内容有：一、没有政府监管服务不行；二、地方放管结合的行政审批制度改革的问题分析和应对",2015.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06B1115095_1601","深化行政审批改革 强化事中事后监管（下）","张定安","",53,"精品三分屏","本课程是《深化行政审批改革 强化事中事后监管》系列课程的下半部分，由中国行政管理学会副秘书长、研究员张定安主讲，主要内容有：地方放管结合的行政审批制度改革的问题分析和应对策略；在放管结合的改革进程中进",2015.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06B1215095_1601","应对世界新变化的人才强国战略（上）","李志刚","",51,"精品三分屏","本课程是《应对世界新变化的人才强国战略》系列课程的上半部分，由中组部人才局副局长、中央人才工作协调小组办公室副主任李志刚主讲，围绕“我国人才发展面临的新形势、新任务”这一话题，主要内容有：实现中华民族",2015.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06B1315095_1601","应对世界新变化的人才强国战略（下）","李志刚","",63,"精品三分屏","本课程是《应对世界新变化的人才强国战略》系列课程的下半部分，由中组部人才局副局长、中央人才工作协调小组办公室副主任李志刚主讲，围绕“应对世界新变化的人才战略选择”这一话题，主要内容有：加快确立人才优先",2015.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2316015_1602","服务型政党建设","李军鹏","",66,"精品三分屏","本课程由国家行政学院教授、博士生导师李军鹏主讲，主要内容有：一、为什么要建设服务型政党：服务型政党建设的重要性与紧迫性；二、什么是服务型政党：服务型政党的内涵、内容与基本理论；三、怎样建设服务型政党：",2016.1,"","",""
"党建基础理论","党章学习","party-constitution","GC06M1416015_1604","战略思维与政策建议——“两线三区四象法”应用","于立","",23,"精品三分屏","本课程由天津财经大学副校长于立主讲，主要内容包括：一、智库建设和智库思想；二、战略思维；三、“两线三区四象法”； 四、政策建议。",2016.1,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2316055_1606","加强政府自身建设，提高施政能力和服务水平","李军鹏","",62,"精品三分屏","本课程由国家行政学院公共管理教研部教授李军鹏主讲，主要内容有：一、加强政府自身建设的重大意义；二、我国政府自身建设的进展与存在的主要问题；三、加强政府自身建设、提高施政能力与服务水平的目标与措施。",2016.5,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2416065_1607","社会体制改革：让人民有更多获得感","郭兆晖","",55,"精品三分屏","本课程由中央党校经济学部副教授郭兆晖主讲，主要内容有：一、社会体制改革的时代背景；二、社会体制改革的基本原则；三、社会体制改革的主要内容。",2016.6,"","",""
"党建基础理论","党章学习","party-constitution","GC06N1416085_1609","中国怎样提升自己的软实力","吴英杰","",48,"精品三分屏","本课程由对外经济贸易大学外语学院教授吴英杰主讲，主要内容有：一、软实力理论研究及中国软实力发展状况；二、如何提升我国的软实力；三、借鉴发达国家经验，提升我国软实力。",2016.8,"","",""
"党建基础理论","党章学习","party-constitution","GC06A1916085_1611","公务员保密工作应知应会（上）","张学栋","",53,"精品三分屏","本课程是《公务员保密工作应知应会》系列课程的上半部分，由中国行政管理学会副秘书长张学栋主讲，主要内容有：一、关于公务员保密工作的高层声音；二、做好新常态下的基层保密工作；三、做好政府机关保密工作。",2016.8,"","",""
"党建基础理论","党章学习","party-constitution","GC06A2016085_1611","公务员保密工作应知应会（下）","张学栋","",50,"精品三分屏","本课程是《公务员保密工作应知应会》系列课程的下半部分，由中国行政管理学会副秘书长张学栋主讲，主要内容有：抓住薄弱环节，改进保密工作；增强保密意识和能力的对策建议。",2016.8,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2517065_1706","党的工作机关的设立和职责","石国亮","",63,"精品三分屏","本课程由首都师范大学马克思主义学院教授石国亮主讲，主要内容有：一、党的工作机关设立的基本要求；二、党中央工作机关和地方党委工作机关的设立、撤销、合并或者变更的程序；三、党的工作机关的领导机构和决策形式",2017.6,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2717095_1709","改革公共服务体制，提升公共服务能力","李军鹏","",63,"精品三分屏","本课程由国家行政学院教授、博士生导师李军鹏主讲，主要内容有：一、新时期改革公共服务体制、提升公共服务能力的重要性与紧迫性；二、坚持共享发展理念，加快完善公共服务体系；三、公共服务体制改革的主要任务。",2017.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2817095_1709","公共服务人员依法行政能力提升","李军鹏","",61,"精品三分屏","本课程由国家行政学院教授、博士生导师李军鹏主讲，主要内容有：一、公共服务人员依法行政能力建设的内涵与内容；二、提升公共服务人员依法行政与法治政府建设实践能力；三、提升公共服务人员行政执法能力与水平；四",2017.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2917095_1709","优化“放、管、服”改革，打造服务型政府","李军鹏","",59,"精品三分屏","本课程由国家行政学院教授、博士生导师李军鹏主讲，主要内容有：一、优化“放、管、服”改革，打造服务型政府的重大意义；二、持续简政放权，打造职能科学的服务型政府；三、加强市场监管，打造公平正义的服务型政府",2017.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06I3017125_1712","建设人民满意的服务型政府","李军鹏","",61,"精品三分屏","本课程由国家行政学院教授、博士生导师李军鹏主讲，主要内容有：一、什么是人民满意的服务型政府；二、中国特色社会主义新时代对服务型政府建设的

新要求；三、建设人民满意的服务型政府的对策与措施。",2017.12,"","",""
"党建基础理论","党章学习","party-constitution","GC06I3217125_1712","全面实施绩效管理","李军鹏","",64,"精品三分屏","本课程由国家行政学院教授、博士生导师李军鹏主讲，主要内容有：一、什么是绩效管理；二、为什么要全面实施绩效管理；三、如何全面实施绩效管理。",2017.12,"","",""
"党建基础理论","党章学习","party-constitution","GC06I2018055_1805","全面提高政府效能，建设效能政府","李军鹏","",69,"精品三分屏","本课程由国家行政学院教授、博士生导师李军鹏主讲，主要内容有：一、全面提高政府效能、建设效能政府的重大意义；二、政府效能建设的主要任务；三、全面提高政府效能、建设效能政府的对策措施。",2018.5,"","",""
"党建基础理论","党章学习","party-constitution","GC06A1519035_1903","政府网站实用化建设与政务服务能力提升","孟庆国","",41,"精品三分屏","本课程由清华大学公共管理学院电子政务实验室主任孟庆国主讲，主要内容包括：一、全面推进政务公开；二、大力推进“互联网+政务服务”；三、优化提升政务服务水平。",2019.3,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I2119035_1903","着力聚集爱国奉献的各方面优秀人才","张希贤","",43,"专家讲授精制视频","本课程由中央党校（国家行政学院）党建部教授张希贤主讲，主要内容有：一、加快实施人才强国战略；二、实行更加积极、更加开放、更加有效的人才引进政策，聚天下英才而用之；三、用好人才：把人才引导到各行各业中去",2019.3,"","",""
"党建基础理论","党章学习","party-constitution","GC06A2019045_1905","推动电子营业执照服务改革发展","郑刚","",26,"精品三分屏","本课程由国家市场监督管理总局信息中心副处长郑刚主讲，主要内容包括：一、电子营业执照的概念和意义；二、电子营业执照的建设和应用；三、下一步工作考虑和应用前景。",2019.4
,"","",""
"党建基础理论","党章学习","party-constitution","GC06I1119085_1909","切实为基层公务员松绑减负","杨小军","",56,"精品三分屏","本课程由中共中央党校（国家行政学院）政法部教授、博士生导师杨小军主讲，主要内容包括：一、现状和问题；二、着力解决文山会海问题；三、解决督查检查考核过多过频、过度留痕的问题；四、完善问责制度和激励关怀机",2019.8,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1219085_1909","加强公务员全方位管理（上）","杨小军","",27,"专家讲授精制视频","本课程是《加强公务员全方位管理》系列课程的上半部分，由中共中央党校（国家行政学院）政法部教授、博士生导师杨小军主讲，主要内容有：一、强化政治要求；二、严肃查处乱作为。",2019.8,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1319085_1909","加强公务员全方位管理（下）","杨小军","",32,"专家讲授精制视频","本课程是《加强公务员全方位管理》系列课程的下半部分，由中共中央党校（国家行政学院）政法部教授、博士生导师杨小军主讲，主要内容有：三、严肃查处不担当、不作为；四、力戒形式主义、官僚主义。",2019.8,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0119095_1910","坚持摒弃一切形式的不担当不作为（上）","李军鹏","",33,"专家讲授精制视频","本课程是《坚持摒弃一切形式的不担当不作为》系列课程的上半部分，由中央党校（国家行政学院）教授、博士生导师李军鹏主讲，主要内容有：一、新时期不担当不作为的主要表现形式；二、不担当不作为的根源与危害。",2019.9,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0219095_1910","坚持摒弃一切形式的不担当不作为（下）","李军鹏","",29,"专家讲授精制视频","本课程是《坚持摒弃一切形式的不担当不作为》系列课程的下半部分，由中央党校（国家行政学院）教授、博士生导师李军鹏主讲，主要内容有：二、不担当不作为的根源与危害；三、摒弃一切形式不担当不作为的对策措施。",2019.9,"","",""
"党建基础理论","党章学习","party-constitution","GC06I0419105_1911","坚决打好防范化解重大风险攻坚战","李雪峰","",51,"精品三分屏","本课程由中共中央党校（国家行政学院）应急管理教研部教授、博士生导师李雪峰主讲，主要内容有：一、安全风险形势；二、完善安全体系；三、提高思想认识；四、提升风险防范能力。",2019.10,"c20499c6-c79f-5494-b606-0ddd5cf26d83","坚决打好防范化解重大风险攻坚战","国家治理"
"党建基础理论","党章学习","party-constitution","HGC06A1120045_2005","公共危机事件后的政府信任修复（上）","游志斌","",51,"精品三分屏","本课程是《公共危机事件后的政府信任修复》系列课程的上半部分，由中央党校（国家行政学院）应急管理培训中心教授、博导游志斌主讲，重点围绕危机事件后政府信任面临的挑战这一话题，阐述了以下内容：政府信任基本概",2020.4,"","",""
"党建基础理论","党章学习","party-constitution","HGC06A1220045_2005","公共危机事件后的政府信任修复（下）","游志斌","",50,"精品三分屏","本课程是《公共危机事件后的政府信任修复》系列课程的下半部分，由中央党校（国家行政学院）应急管理培训中心教授、博导游志斌主讲，主要内容有：政府信任危机的原因及分析；如何在危机事件后重塑政府形象。",2020.4,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0520115_2012","我国行政区划及其依法管理（上）","任进","",24,"精品三分屏","本课程是《我国行政区划及其依法管理》系列课程的上半部分，由中共中央党校（国家行政学院）政治和法律教研部教授、博士生导师任进主讲，主要内容有：一、行政区划的概念、依据、意义；二、我国的行政区划单位。",2020.11,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0620115_2012","我国行政区划及其依法管理（下）","任进","",27,"精品三分屏","本课程是《我国行政区划及其依法管理》系列课程的下半部分，由中共中央党校（国家行政学院）政治和法律教研部教授、博士生导师任进主讲，围绕“我国行政区划的依法管理”这一话题，重点讲述了以下内容：行政区划管理",2020.11,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0821015_2102","深入基层，提高调查研究能力（上）","王中汝","",26,"专家讲授精制视频","本课程是《深入基层，提高调查研究能力》系列课程的上半部分，由中央党校（国家行政学院）马克思主义基本原理研究所所长王中汝教授主讲，主要内容有：一、调查研究是做好工作的基本功；二、在调查研究中提高工作本领",2021.01,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0921015_2102","深入基层，提高调查研究能力（下）","王中汝","",33,"专家讲授精制视频","本课程是《深入基层，提高调查研究能力》系列课程的下半部分，由中央党校（国家行政学院）马克思主义基本原理研究所所长王中汝教授主讲，主要内容有：三、学会调查研究；四、正确使用调查研究结果。",2021.01,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0321035_2105","着眼大局，提高科学决策能力（上）","刘玉瑛","",28,"精品三分屏","本课程是《着眼大局，提高科学决策能力》系列课程的上半部分，由中央党校（国家行政学院）党建部教授、博士生导师刘玉瑛主讲，主要内容有：一、培养战略眼光，着眼全局，考虑长远；二、掌握决策方法，权衡利弊，正确",2021.3,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0421035_2105","着眼大局，提高科学决策能力（下）","刘玉瑛","",29,"精品三分屏","本课程是《着眼大局，提高科学决策能力》系列课程的下半部分，由中央党校（国家行政学院）党建部教授、博士生导师刘玉瑛主讲，主要内容有：二、掌握决策方法，权衡利弊，正确抉择；三、坚持决策原则，集思广益，科学",2021.3,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0321065_2106","脚踏实地，提高抓落实能力（上）","刘玉瑛","",25,"精品三分屏","本课程是《脚踏实地，提高抓落实能力》系列课程的上半部分，由中央党校（国家行政学院）党建部教授、博士生导师刘玉瑛主讲，主要内容有：一、紧紧把握住抓落实的根本；二、抓好落实的主要路径与方法。",2021.6,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0421065_2106","脚踏实地，提高抓落实能力（下）","刘玉瑛","",34,"精品三分屏","本课程是《脚踏实地，提高抓落实能力》系列课程的下半部分，由中央党校（国家行政学院）党建部教授、博士生导师刘玉瑛主讲，主要内容有：二、抓好落实的主要路径与方法；三、以上率下，以钉钉子精神抓铁有痕。",2021.6,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0921065_2106","坚定决心，提高改革攻坚能力（上）","周天勇","",33,"精品三分屏","本课程是《坚定决心，提高改革攻坚能力》系列课程的上半部分，由中央党校（国家行政学院）国际战略研究院原副院长、博导周天勇主讲，主要内容有：一、高质量发展需要通过改革增添动力和寻求突破；二、改革需要有闯险",2021.6,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I1021065_2106","坚定决心，提高改革攻坚能力（下）","周天勇","",29,"精品三分屏","本课程是《坚定决心，提高改革攻坚能力》系列课程的下半部分，由中央党校（国家行政学院）国际战略研究院原副院长、博导周天勇主讲，主要内容有：四、问题导向、创新思维、遵循规律、正确方法；五、顶层设计与问计于",2021.6,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0321065_2107","加强政治历练，提高政治能力（上）","洪向华","",28,"精品三分屏","本课程是《加强政治历练，提高政治能力》系列课程的上半部分，由中央党校（国家行政学院）科研部副巡视员、教授、博导洪向华主讲，主要内容有：一、把握正确政治方向；二、不断提高政治敏锐性和政治鉴别力；三、对党",2021.6,"","",""
"党建基础理论","党章学习","party-constitution","HGC06I0421065_2107","加强政治历练，提高政治能力（下）","洪向华","",35,"精品三分屏","本课程是《加强政治历练，提高政治能力》系列课程的下半部分，由中央党校（国家行政学院）科研部副巡视员、教授、博导洪向华主讲，主要内容有：四、加强政治历练，增强政治自制力；五、注重提高马克思主义理论水平；",2021.6,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1322035_2203","树立正确的政绩观（上）","江文","",31,"专家讲授精制视频","本课程是《树立正确的政绩观》系列课程的第一部分，由北京市委党校（北京行政学院）研究员江文主讲，主要内容有：一、树立新时代政绩观的重大意义；二、习近平总书记关于政绩观的重要论述。",2022.3,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1422035_2203","树立正确的政绩观（中）","江文","",35,"专家讲授精制视频","本课程是《树立正确的政绩观》系列课程的第二部分，由北京市委党校（北京行政学院）研究员江文主讲，主要内容有：二、习近平总书记关于政绩观的重要论述。",2022.3,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1522035_2203","树立正确的政绩观（下）","江文","",38,"专家讲授精制视频","本课程是《树立正确的政绩观》系列课程的第三部分，由北京市委党校（北京行政学院）研究员江文主讲，主要内容有：三、树立新时代政绩观的实践要求。",2022.3,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0522105_2211","行政执法的规范化（上）","杨小军","",34,"专家讲授精制视频","本课程是《行政执法的规范化》系列课程的上半部分，由中央党校（国家行政学院）政治和法律教研部教授、博导杨小军主讲，主要内容有：一、执法依据规范化；二、执法主体规范化；三、执法职权规范化。",2022.10,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0622105_2211","行政执法的规范化（下）","杨小军","",26,"专家讲授精制视频","本课程是《行政执法的规范化》系列课程的下半部分，由中央党校（国家行政学院）政治和法律教研部教授、博导杨小军主讲，主要内容有：三、执法职权规范化；四、执法程序规范化。",2022.10,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N1523025_2302","构建主流舆论新格局（一）","杨斌艳","",31,"专家讲授精制视频","党的二十大报告指出，要加强全媒体传播体系建设，塑造主流舆论新格局。健全网络综合治理体系，推动形成良好网络生态。塑造主流舆论新格局直接关系到掌握意识形态工作领导权问题，关系到增强中华民族影响力凝聚力问题",2023.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N1623025_2302","构建主流舆论新格局（二）","杨斌艳","",45,"专家讲授精制视频","党的二十大报告指出，要加强全媒体传播体系建设，塑造主流舆论新格局。健全网络综合治理体系，推动形成良好网络生态。塑造主流舆论新格局直接关系到掌握意识形态工作领导权问题，关系到增强中华民族影响力凝聚力问题",2023.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N1723025_2302","构建主流舆论新格局（三）","杨斌艳","",39,"专家讲授精制视频","党的二十大报告指出，要加强全媒体传播体系建设，塑造主流舆论新格局。健全网络综合治理体系，推动形成良好网络生态。塑造主流舆论新格局直接关系到掌握意识形态工作领导权问题，关系到增强中华民族影响力凝聚力问题",2023.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N1823025_2302","构建主流舆论新格局（四）","杨斌艳","",33,"专家讲授精制视频","党的二十大报告指出，要加强全媒体传播体系建设，塑造主流舆论新格局。健全网络综合治理体系，推动形成良好网络生态。塑造主流舆论新格局直接关系到掌握意识形态工作领导权问题，关系到增强中华民族影响力凝聚力问题",2023.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I2123045_2304","大兴调查研究之风（上）","陈浪东","",36,"专家讲授精制视频","2023年3月，中共中央办公厅印发了《关于在全党大兴调查研究的工作方案》，并发出通知，要求各地区各部门结合实际认真贯彻落实。调查研究是中国共产党的传家宝，也是中国共产党的优秀传统。毛泽东同志在革命早期",2023.4,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I2223045_2304","大兴调查研究之风（中）","陈浪东","",32,"专家讲授精制视频","2023年3月，中共中央办公厅印发了《关于在全党大兴调查研究的工作方案》，并发出通知，要求各地区各部门结合实际认真贯彻落实。调查研究是中国共产党的传家宝，也是中国共产党的优秀传统。毛泽东同志在革命早期",2023.4,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I2323045_2304","大兴调查研究之风（下）","陈浪东","",31,"专家讲授精制视频","2023年3月，中共中央办公厅印发了《关于在全党大兴调查研究的工作方案》，并发出通知，要求各地区各部门结合实际认真贯彻落实。调查研究是中国共产党的传家宝，也是中国共产党的优秀传统。毛泽东同志在革命早期",2023.4,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I2123065_2306","政务诚信建设（上）","李军鹏","",31,"专家讲授精制视频","政务诚信是社会信用体系的重要组成部分和重要标杆，在社会体系建设中发挥着示范引领作用。政务诚信是“第一诚信”，良好的政务诚信能为国家有效配置资源，为社会提供良好的公共产品和服务，在社会信用体系建设中发挥",2023.6,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I2223065_2306","政务诚信建设（下）","李军鹏","",32,"专家讲授精制视频","政务诚信是社会信用体系的重要组成部分和重要标杆，在社会体系建设中发挥着示范引领作用。政务诚信是“第一诚信”，良好的政务诚信能为国家有效配置资源，为社会提供良好的公共产品和服务，在社会信用体系建设中发挥",2023.6,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N2323065_2307","完善党的人才工作机制（上）","黄苇町","",30,"专家讲授精制视频","人才是创新的第一资源，人才资源是我国在激烈的国际竞争中的重要力量和显著优势。党的十八大以来，党中央作出人才是实现民族振兴、赢得国际竞争主动的战略资源的重大判断，作出全方位培养、引进、使用人才的重大部署",2023.6,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N2423065_2307","完善党的人才工作机制（下）","黄苇町","",29,"专家讲授精制视频","人才是创新的第一资源，人才资源是我国在激烈的国际竞争中的重要力量和显著优势。党的十八大以来，党中央作出人才是实现民族振兴、赢得国际竞争主动的战略资源的重大判断，作出全方位培养、引进、使用人才的重大部署",2023.6,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N2523075_2307","政务新媒体运营现状及案例分析（上）","杨斌艳","",38,"专家讲授精制视频","随着“互联网+政务”的高速发展，政务新媒体已成为网上政务的重要一环，是解决政务公开、舆论引导的一把金钥匙。政务新媒体是移动互联网时代党和政府联系群众、服务群众、凝聚群众的重要渠道，是加快转变政府职能、",2023.7,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N2623075_2307","政务新媒体运营现状及案例分析（下）","杨斌艳","",41,"专家讲授精制视频","随着“互联网+政务”的高速发展，政务新媒体已成为网上政务的重要一环，是解决政务公开、舆论引导的一把金钥匙。政务新媒体是移动互联网时代党和政府联系群众、服务群众、凝聚群众的重要渠道，是加快转变政府职能、",2023.7,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N1923075_2308","舆情发展新态势及有效应对处置新思路（上）","杨斌艳","",49,"专家讲授精制视频","舆情是社会政治的重要组成部分，与国家治理和社会稳定密切相关。当今社会随着互联网的发展，越来越多的人开始在网络上发表言论，表达看法。新形势下网络舆情的传播特点也得到了党和政府的高度重视，习近平总书记在多",2023.7,"","",""
"党建基础理论","党章学习","party-constitution","NGC06N2023075_2308","舆情发展新态势及有效应对处置新思路（下）","杨斌艳","",51,"专家讲授精制视频","舆情是社会政治的重要组成部分，与国家治理和社会稳定密切相关。当今社会随着互联网的发展，越来越多的人开始在网络上发表言论，表达看法。新形势下网络舆情的传播特点也得到了党和政府的高度重视，习近平总书记在多",2023.7,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1024025_2403","如何提高一把手的政治能力（上）","郇雷","",31,"专家讲授精制视频","在领导干部的所有能力中，政治能力是第一位的。习近平总书记强调，我们党要始终做到不忘初心、牢记使命，把党和人民事业长长久久推进下去，必须增强政治意识，善于从政治上看问题，善于把握政治大局，不断提高政治判",2024.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1124025_2403","如何提高一把手的政治能力（下）","郇雷","",33,"专家讲授精制视频","在领导干部的所有能力中，政治能力是第一位的。习近平总书记强调，我们党要始终做到不忘初心、牢记使命，把党和人民事业长长久久推进下去，必须增强政治意识，善于从政治上看问题，善于把握政治大局，不断提高政治判",2024.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1224025_2403","掌握学习方法，提升履职本领（上）","刘春","",33,"专家讲授精制视频","掌握和运用科学思想方法是我们党不断取得胜利的宝贵经验。只有把思想方法搞对头，认识问题才能站得高，分析问题才能看得深，才能有效提升工作的科学性、预见性、主动性、创造性。习近平新时代中国特色社会主义思想坚",2024.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1324025_2403","掌握学习方法，提升履职本领（下）","刘春","",32,"专家讲授精制视频","掌握和运用科学思想方法是我们党不断取得胜利的宝贵经验。只有把思想方法搞对头，认识问题才能站得高，分析问题才能看得深，才能有效提升工作的科学性、预见性、主动性、创造性。习近平新时代中国特色社会主义思想坚",2024.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1224055_2405","调查研究是中国共产党的传家宝和做好工作的基本功","李清泉","",39,"专家讲授精制视频","调查研究是我们党的传家宝，是做好各项工作的基本功。回顾我们党的发展历程可以清楚地看到，什么时候全党从上到下重视并坚持和加强调查研究，党的工作决策和指导方针符合客观实际，党的事业就顺利发展。当前，世界百",2024.5,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I1424055_2405","坚持党性要求，写作调研报告","李清泉","",37,"专家讲授精制视频","调查研究是我们党的传家宝，也是新时代解决发展难题、推动高质量发展、实现中国式现代化的重要法宝。进入新时代以来，习近平总书记高度重视调查研究，身体力行、以上率下，为全党大兴调查研究树立了光辉典范。在新时",2024.5,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0324055_2406","宪法与宪制及宪法的地位","张学博","",21,"专家讲授精制视频","宪法和宪制是名和实的关系。我国宪法是治国理政的总章程，是国家的根本法，是党和人民意志的集中体现，是国家各项制度和法律法规的总依据。本课程由中央党校（国家行政学院）政治和法律教研部教授张学博主讲，主要内",2024.5,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0424055_2406","坚持全面依宪治国和依宪执政","张学博","",29,"专家讲授精制视频","宪法的生命在于实施，宪法的权威也在于实施。全面贯彻实施宪法，是建设社会主义法治国家的首要任务和基础性工作。中国特色社会主义进入了新时代，对我们党推进全面依法治国特别是依宪治国、依宪执政提出了新的更高要",2024.5,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0724115_2411","提高行政执法质量的原理","周睿志","",20,"专家讲授精制视频","提高行政执法质量的原理，即为什么要提高行政执法质量。行政执法是法治政府建设的基本环节之一，主要是落实规则和决定。党的十八大以后，我国行政执法工作取得了很多的成就，但也存在不作为、乱作为、不严格、不规范",2024.11,"","",""
"党建基础理论","党章学习","party-constitution","NGC06I0824115_2411","行政执法质量提升的实践要点","周睿志","",55,"专家讲授精制视频","按照中央要求，行政执法质量提升有八个实践要点。行政执法质量提升，也可以用三点来概括：一是行政执法工作“用心用情”，就容易处置得“合情合理”；二是行政执法人员通过自我努力，可以形成一种行政执法的“法感”",2024.11,"","",""
"党建基础理论","党章学习","party-constitution","NGC06T1325065_2506","建设数字领导力 引领智能化变革","何圣东","",49,"专家讲授精制视频","当今，数字化智能化变革给人类生活带来广泛而深刻的影响，数字技术悄无声息地渗入各行各业，改变人们的工作模式、相处模式以及思维方式，包括政府、学校、企业在内的各大公共部门的领导者都要适应数字技术所带来的领",2025.6,"","",""
"党建基础理论","党章学习","party-constitution","CGC06T1025095_2509","《中央行政事业单位国有资产使用管理办法》解读（上）","智库专家团","",44,"彩课","国有资产是全体国民共有的财富，行政事业单位的国有资产更是其履行政府职能的关键物质基础。近年来，各部门和单位在资产管理方面虽有进步，管理意识逐步增强，资产使用管理也日趋规范，但仍存在诸多问题。为规范中央",2025.9,"","",""
"党建基础理论","党章学习","party-constitution","CGC06T1125095_2509","《中央行政事业单位国有资产使用管理办法》解读（中）","智库专家团","",47,"彩课","国有资产是全体国民共有的财富，行政事业单位的国有资产更是其履行政府职能的关键物质基础。近年来，各部门和单位在资产管理方面虽有进步，管理意识逐步增强，资产使用管理也日趋规范，但仍存在诸多问题。为规范中央",2025.9,"","",""
"党建基础理论","党章学习","party-constitution","CGC06T1225095_2509","《中央行政事业单位国有资产使用管理办法》解读（下）","智库专家团","",41,"彩课","国有资产是全体国民共有的财富，行政事业单位的国有资产更是其履行政府职能的关键物质基础。近年来，各部门和单位在资产管理方面虽有进步，管理意识逐步增强，资产使用管理也日趋规范，但仍存在诸多问题。为规范中央",2025.9,"","",""
